Age,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
,-0.0030435,-0.010437,0.0024235,-0.0039788,0.012176,-0.011356,0.0064925,0.0064677,-0.0068659,-0.0047164
,0.020303,0.0033816,-0.014114,0.022228,-0.014331,-0.020762,-0.0024183,-0.00042421,-0.011922,0.0088318
,0.0093528,0.0088572,-0.0051595,0.0079118,0.0016034,0.010844,0.01682,0.011096,-0.0025109,0.0059475
,0.0068743,0.00084803,-0.0054619,-0.006296,0.0099337,0.001741,0.0062281,0.00086149,0.01713,0.0040039
,0.011797,-0.0043738,-0.011748,-0.0082857,0.0018172,-0.0012491,-0.011796,0.0025328,0.013437,-0.0078905
,0.0033491,0.01593,-0.0079874,0.018389,-0.012045,0.013092,0.0057522,0.013814,0.016435,0.0058866
,0.023808,-0.013142,-0.0036192,0.010895,0.015678,0.0014855,0.0089575,-0.0039062,0.0018085,0.0045849
,0.021611,-0.00072847,-0.0033582,-0.0035929,-0.0051044,-0.0015834,-0.01116,-0.0090964,-0.0002455,-0.0078252
,0.00095101,-0.0021682,0.012574,0.021643,0.0069659,-0.023277,0.012323,-0.0037426,0.012873,-0.0037265
,-0.0014378,0.0013816,-0.0031058,0.0097136,0.00063441,-0.0035341,-0.002628,0.012118,-0.011133,-0.0016739
,-0.0098266,0.014245,0.0067629,-0.0050579,-0.0027913,0.024877,0.00038065,0.0070766,-0.0082383,0.018209
,0.0010505,0.0006854,0.012768,0.0079759,0.030792,0.0070033,-0.017703,-0.019016,-0.019692,-0.00032772
,0.023207,-0.020735,-0.0040782,-0.005614,0.0016193,0.011612,-0.014832,-0.014995,0.013472,-0.0060868
,0.0056604,-0.0077462,-0.026525,0.019225,-5.16E-05,-0.022399,0.0063015,0.018594,-0.0066099,-0.0084207
,0.0030226,-0.0060616,-0.0032599,-0.022433,0.0097787,0.0018004,0.0052225,0.0034636,0.0034511,-0.010585
,0.0044747,-0.0084018,-0.011075,-0.004163,-0.0043105,-0.01162,0.0057791,-0.0023606,0.017593,0.013052
,-0.013183,0.00081486,-0.0033448,0.00044112,0.0031256,0.0027422,-0.024493,-0.012653,0.003791,-0.019661
,0.028649,-0.0073343,0.019235,0.038063,0.017065,0.00094131,-0.00041731,-0.0074976,-0.016511,-0.0042884
,-0.00031115,0.0022524,0.00053964,-0.0077218,0.014849,0.018974,0.0017471,-0.0023806,-0.0018654,0.0073946
,0.0066781,0.0056029,0.0050987,0.0031207,0.0023393,-0.0034612,0.0073404,0.0031492,-0.0082619,0.035776
,-0.011402,0.0048424,-0.018391,0.019062,0.00043073,-0.034695,0.014384,-0.00045205,0.029382,0.0078212
,0.022252,0.012227,0.0065957,0.011416,0.0071543,0.010995,0.027361,0.014231,0.0056565,-0.0046556
,-0.0047203,0.0085426,-0.015068,-0.013442,0.011004,-0.0032204,-0.013473,0.007028,0.003565,-0.024244
,-0.0030584,0.0048743,-0.0044201,0.006663,-0.0099102,-0.0069905,0.0043285,-0.0027766,-0.0054566,-0.0045538
,-0.024187,0.011027,-0.013577,-0.011663,0.011593,-0.013915,-0.001929,0.01067,0.0016112,-0.0032641
,0.0063897,0.010778,0.024582,0.008006,-0.025482,0.0021361,-0.0012448,-0.00040436,-0.0084492,0.00785
,-0.0013931,0.003092,-0.0088364,0.0090246,-0.0050474,0.0028993,-0.00036578,0.0013024,-0.0014431,0.00027326
,0.017801,0.00057703,-0.0051301,-0.0057044,-0.0024282,0.0068934,-0.005808,0.011138,-0.0050373,-0.0208
,-0.0051063,-0.00033746,-0.0086475,0.013789,0.0061056,-0.0023244,-0.0040344,-0.015246,0.0058119,-0.0094254
,-0.014416,-0.0015784,0.0061945,-0.0017472,0.01268,-0.013837,-0.0072164,-0.0084712,-0.0010898,0.021642
,0.0021924,-0.0037862,-0.0043008,0.00063703,0.0034341,0.01173,-0.0093952,0.0043597,0.0094651,0.014067
,-0.0090392,0.0068824,0.01038,-0.017482,-0.011914,-0.019448,0.0017429,0.020391,-0.021197,-0.00031933
,-0.0018626,0.012628,0.0086101,0.0024187,-0.0094405,-0.0051631,-0.01558,-0.0049965,-0.010479,-0.0058857
,-9.24E-05,-0.0085356,0.013185,0.0083282,0.012123,0.0031505,0.0012657,-0.004048,0.0096803,-0.0021882
,-0.001111,0.014745,-0.0056185,0.033469,-0.026388,0.010065,-0.015982,0.010302,0.0066645,-0.033924
,0.023638,-0.017343,0.0069458,0.016239,0.0046494,0.013072,0.0015136,0.0028081,-0.0075892,0.003519
,-0.030252,0.0067673,0.0038473,-0.0029704,0.021231,-0.0027211,-0.003191,0.011805,-0.00051736,-0.03111
,0.0099994,-0.0048221,-1.59E-06,-0.001241,-0.012844,0.00025374,-0.0024392,-0.015908,0.00046105,-0.010065
,-0.021665,0.0093372,-0.0047457,0.0042095,0.027787,0.0096333,0.013654,-0.020224,0.020338,0.0060474
,0.012489,-0.0013266,-0.0085548,0.0049385,-0.0079847,0.011901,-0.010768,-0.013199,0.0041609,-0.01751
,-0.015602,-0.0097096,-0.026127,-0.012279,0.018719,-0.0052119,0.0063876,-0.0035481,-0.0039926,-0.010467
,0.0012629,-0.010093,0.0083551,-0.017075,0.028169,0.014723,0.0028858,0.0041986,-0.01014,0.0060893
,0.0085003,0.0098184,-0.006914,-0.0047113,-0.0061651,-0.0027006,-0.0059338,0.0074827,-0.002742,-0.0072155
,0.0027659,-0.0049076,0.015514,-0.017841,-0.0088699,0.010883,-0.0099428,-0.013416,-0.018654,0.011127
,-0.0012205,0.0033406,-0.012727,-0.0027911,0.0022537,0.01766,0.011539,0.0006695,0.0024393,0.0051755
,0.01343,-0.015309,-0.014548,0.0027253,0.011559,0.012138,0.01042,0.0030882,-0.015889,0.0062647
,0.0041723,0.0065738,0.0041144,0.022983,-0.004479,-0.020252,0.013571,-0.0064585,-0.0015978,0.013397
